cluster_id,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f
30.0,0.3548387096774194,0.10679611650485436,0.16417910092114063,0.12903225806451613,0.031496062992125984,0.050632908238263295,0.3548387096774194,0.10679611650485436,0.16417910092114063
31.0,0.7037037037037037,0.18627450980392157,0.2945736401009555,0.2692307692307692,0.05303030303030303,0.08860759218714959,0.6296296296296297,0.16666666666666666,0.263565888162971
32.0,0.43902439024390244,0.16363636363636364,0.23841059207052326,0.0975609756097561,0.0273972602739726,0.04278074523949812,0.34146341463414637,0.12727272727272726,0.18543045962019217
33.0,0.8333333333333334,0.21739130434782608,0.34482758292508925,0.6521739130434783,0.13157894736842105,0.21897809939581228,0.8333333333333334,0.21739130434782608,0.34482758292508925
34.0,0.5,0.09917355371900827,0.1655172386168847,0.0,0.0,0.0,0.2916666666666667,0.05785123966942149,0.09655172137550544
35.0,0.12903225806451613,0.0392156862745098,0.06015037236474667,0.0,0.0,0.0,0.12903225806451613,0.0392156862745098,0.06015037236474667
36.0,0.4074074074074074,0.07236842105263158,0.12290502537124315,0.038461538461538464,0.004651162790697674,0.00829875326182445,0.2962962962962963,0.05263157894736842,0.08938547229861747
37.0,0.6666666666666666,0.13725490196078433,0.22764227359111644,0.34782608695652173,0.05128205128205128,0.08938547262070479,0.6190476190476191,0.12745098039215685,0.2113821109894904
38.0,0.92,0.2169811320754717,0.3511450350795409,0.72,0.13636363636363635,0.22929936037973145,0.88,0.20754716981132076,0.33587785950702176
39.0,0.40540540540540543,0.12295081967213115,0.18867924171195766,0.0975609756097561,0.024691358024691357,0.03940886377150649,0.32432432432432434,0.09836065573770492,0.1509433926553539
40.0,0.5294117647058824,0.1267605633802817,0.20454545142820255,0.25,0.05,0.08333333055555565,0.47058823529411764,0.11267605633802817,0.18181817870092978
41.0,0.4,0.08547008547008547,0.1408450675213252,0.08333333333333333,0.013071895424836602,0.02259886771234344,0.36,0.07692307692307693,0.1267605604790717
42.0,0.26666666666666666,0.08695652173913043,0.1311475372749262,0.15625,0.045871559633027525,0.0709219823067252,0.23333333333333334,0.07608695652173914,0.11475409465197539
43.0,0.8333333333333334,0.3333333333333333,0.4761904721088436,0.6538461538461539,0.21794871794871795,0.32692307317307695,0.7916666666666666,0.31666666666666665,0.45238094829931974
44.0,0.16666666666666666,0.07317073170731707,0.1016949110140766,0.0,0.0,0.0,0.1388888888888889,0.06097560975609756,0.08474575847170375
45.0,0.5,0.18666666666666668,0.271844656235272,0.16666666666666666,0.046296296296296294,0.07246376471329569,0.39285714285714285,0.14666666666666667,0.21359222905080597
46.0,0.5161290322580645,0.10526315789473684,0.17486338516408373,0.09090909090909091,0.016304347826086956,0.027649767006307443,0.45161290322580644,0.09210526315789473,0.153005461666816
47.0,0.4473684210526316,0.1504424778761062,0.22516555914740588,0.20512820512820512,0.0547945205479452,0.08648648315909437,0.3157894736842105,0.10619469026548672,0.158940393584492
48.0,0.46153846153846156,0.09917355371900827,0.1632653032106993,0.14285714285714285,0.024096385542168676,0.04123711093208646,0.3076923076923077,0.06611570247933884,0.10884353450321632
49.0,0.21428571428571427,0.05555555555555555,0.08823529084775099,0.0,0.0,0.0,0.21428571428571427,0.05555555555555555,0.08823529084775099
50.0,0.4,0.07228915662650602,0.12244897699916707,0.07142857142857142,0.00980392156862745,0.017241377187871845,0.3333333333333333,0.060240963855421686,0.10204081373386095
